Tf id,Markov,Euclidean,Manhattan,Jaccard,Space_NewLine,BraceSimilarity,CommentSimilarity,CodeStyleSimilarity,CommonLines,Veredict
0.9939,1.0,0.02244783432338246,0.031746031746031744,0.9090909090909091,0.9358974358974359,0.3333333333333333,0.21428571428571427,0.4945054945054945,2,1
0.9989,1.0,0.009869235370762834,0.0341880341880342,0.7391304347826086,0.9980119284294234,0.06451612903225806,1.0,0.6875093524872272,6,1
0.9955,0.3973,0.019248253023005722,0.1065407051521631,0.6792452830188679,0.3950762016412661,0.045,0.0,0.14669206721375536,12,1
0.9989,1.0,0.008270254750719854,0.011695906432748537,0.9411764705882353,0.9952380952380953,0.13333333333333333,0.17647058823529413,0.4350140056022409,2,1
0.9996,0.5858,0.0068136411077141,0.014610999298458056,1.0,0.693661971830986,0.0763888888888889,0.14285714285714285,0.3043026678590059,3,1
0.9467,0.4371,0.06913574715280178,0.30135938723446176,0.5806451612903226,0.703448275862069,0.3333333333333333,0.125,0.3872605363984674,1,0
0.9795,0.315,0.04620541321675324,0.25230251049170294,0.5098039215686274,0.2919621749408984,0.08333333333333333,0.02040816326530612,0.13190122384651262,1,0
0.9884,0.4966,0.031679154714066,0.10465093169669301,0.8863636363636364,0.22085201793721976,0.09070294784580499,0.16666666666666666,0.1594072108165638,8,0
0.8672,0.8115,0.10223673867605726,0.41100644347119164,0.6,0.7016129032258065,0.5,0.06666666666666667,0.4227598566308244,2,0
0.9963,0.3388,0.018478345419853447,0.09738950538161983,0.66,0.8667763157894737,0.04878048780487805,1.0,0.6385189345314506,13,0
